frame	time	active_motion	active_phase	replacement_blend	hand_r_x	hand_r_y	hand_r_z	swept_target_distance	pelvis_x	pelvis_y	pelvis_z	lead_foot_drift	detached_centroid_x	detached_centroid_y	detached_centroid_z	detached_min_y	attached_voxels	base_joints	replacement_joints	physics_joints
20	0.666667	Punch_Cross	0.533333	1	-0.135012	1.31307	0.650243	0.122392	-0.00820909	0.851661	-0.0151606	0.000105154	0.168747	0.130382	0.278611	0.022074	1530	1	41	23
21	0.7	Punch_Cross	0.566667	1	-0.1359	1.28665	0.636563	0.127472	-0.00823392	0.851661	-0.0151578	0.000119681	0.165745	0.142996	0.287965	0.0494364	1530	1	41	23
22	0.733333	Punch_Cross	0.6	1	-0.140564	1.26159	0.615408	0.146178	-0.00825875	0.851661	-0.0151551	2.9124e-06	0.163109	0.144412	0.293253	0.0547191	1530	1	41	23
23	0.766667	Punch_Cross	0.633333	1	-0.152243	1.24145	0.584688	0.173628	-0.00781566	0.85113	-0.0152504	2.69125e-06	0.161196	0.13406	0.297167	0.0454492	1530	1	41	23
24	0.8	Punch_Cross	0.666667	1	-0.171404	1.229	0.543489	0.209456	-0.00656915	0.849663	-0.0155299	1.39897e-06	0.159235	0.121037	0.300806	0.0312347	1530	1	41	23
25	0.833333	Punch_Cross	0.7	1	-0.192654	1.22515	0.493848	0.252801	-0.0046721	0.847453	-0.0159892	6.04063e-07	0.158389	0.117574	0.302478	0.0275713	1530	1	41	23
26	0.866667	Punch_Cross	0.733333	1	-0.212429	1.22971	0.438053	0.3004	-0.00229078	0.84469	-0.0166218	8.07543e-06	0.158521	0.115901	0.302884	0.0265229	1530	1	41	23
27	0.9	Punch_Cross	0.766667	1	-0.228311	1.24089	0.378597	0.350646	0.000515727	0.841481	-0.0174704	0.000141163	0.159293	0.114554	0.301805	0.0257346	1530	1	41	23
28	0.933333	Punch_Cross	0.8	1	-0.239594	1.25669	0.318052	0.402458	0.00332224	0.838271	-0.0183189	6.5352e-07	0.160537	0.113323	0.299413	0.0250586	1530	1	41	23
29	0.966667	Punch_Cross	0.833333	1	-0.245303	1.274	0.259206	0.454718	0.00635799	0.835088	-0.0192639	0.000101431	0.161954	0.112205	0.29626	0.0244974	1530	1	41	23
30	1	Punch_Cross	0.866667	1	-0.245551	1.29001	0.205683	0.505418	0.00939374	0.831904	-0.020209	5.12887e-06	0.163183	0.111383	0.293196	0.0242073	1530	1	41	23
31	1.03333	Punch_Cross	0.9	1	-0.24075	1.30319	0.162034	0.551489	0.0125512	0.829195	-0.0209695	1.72549e-05	0.164049	0.111731	0.290793	0.0252144	1530	1	41	23
32	1.06667	Punch_Cross	0.933333	1	-0.234586	1.31257	0.129569	0.588509	0.0153925	0.827041	-0.0215249	2.10385e-06	0.164662	0.112136	0.289041	0.0262226	1530	1	41	23
33	1.1	Punch_Cross	0.966667	1	-0.230478	1.31806	0.108163	0.615987	0.017277	0.825618	-0.0218937	4.11393e-07	0.16507	0.11228	0.287792	0.0266999	1530	1	41	23
34	1.13333	Punch_Cross	1	1	-0.228974	1.31988	0.100521	0.634501	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165341	0.112358	0.286918	0.0269501	1530	1	41	23
35	1.16667	Punch_Cross	1.03333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165522	0.112404	0.286318	0.0270898	1530	1	41	23
36	1.2	Punch_Cross	1.06667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165642	0.112432	0.285913	0.0271706	1530	1	41	23
37	1.23333	Punch_Cross	1.1	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.16572	0.112449	0.285641	0.0272183	1530	1	41	23
38	1.26667	Punch_Cross	1.13333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165772	0.112459	0.285462	0.0272467	1530	1	41	23
39	1.3	Punch_Cross	1.16667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165806	0.112465	0.285344	0.0272635	1530	1	41	23
40	1.33333	Punch_Cross	1.2	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165828	0.112469	0.285267	0.0272735	1530	1	41	23
41	1.36667	Punch_Cross	1.23333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165842	0.112471	0.285217	0.0272793	1530	1	41	23
42	1.4	Punch_Cross	1.26667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165851	0.112472	0.285185	0.0272826	1530	1	41	23
43	1.43333	Punch_Cross	1.3	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165857	0.112472	0.285164	0.0272846	1530	1	41	23
44	1.46667	Punch_Cross	1.33333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165861	0.112473	0.285151	0.0272856	1530	1	41	23
45	1.5	Punch_Cross	1.36667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165863	0.112473	0.285142	0.0272862	1530	1	41	23
46	1.53333	Punch_Cross	1.4	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165865	0.112473	0.285137	0.0272866	1530	1	41	23
47	1.56667	Punch_Cross	1.43333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165865	0.112473	0.285134	0.0272868	1530	1	41	23
48	1.6	Punch_Cross	1.46667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165866	0.112473	0.285131	0.0272869	1530	1	41	23
49	1.63333	Punch_Cross	1.5	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165866	0.112473	0.28513	0.0272869	1530	1	41	23
50	1.66667	Punch_Cross	1.53333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285129	0.0272869	1530	1	41	23
51	1.7	Punch_Cross	1.56667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285128	0.027287	1530	1	41	23
52	1.73333	Punch_Cross	1.6	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285128	0.027287	1530	1	41	23
53	1.76667	Punch_Cross	1.63333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285128	0.027287	1530	1	41	23
54	1.8	Punch_Cross	1.66667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285128	0.027287	1530	1	41	23
55	1.83333	Punch_Cross	1.7	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285128	0.027287	1530	1	41	23
56	1.86667	Punch_Cross	1.73333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285128	0.027287	1530	1	41	23
57	1.9	Punch_Cross	1.76667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285128	0.027287	1530	1	41	23
58	1.93333	Punch_Cross	1.8	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285128	0.027287	1530	1	41	23
59	1.96667	Punch_Cross	1.83333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
60	2	Punch_Cross	1.86667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
61	2.03333	Punch_Cross	1.9	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
62	2.06667	Punch_Cross	1.93333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
63	2.1	Punch_Cross	1.96667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
64	2.13333	Punch_Cross	2	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
65	2.16667	Punch_Cross	2.03333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
66	2.2	Punch_Cross	2.06667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
67	2.23333	Punch_Cross	2.1	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
68	2.26667	Punch_Cross	2.13333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
69	2.3	Punch_Cross	2.16667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
70	2.33333	Punch_Cross	2.2	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
71	2.36667	Punch_Cross	2.23333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
72	2.4	Punch_Cross	2.26667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
73	2.43333	Punch_Cross	2.3	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
74	2.46667	Punch_Cross	2.33333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
75	2.5	Punch_Cross	2.36667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
76	2.53333	Punch_Cross	2.4	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
77	2.56667	Punch_Cross	2.43333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
78	2.6	Punch_Cross	2.46667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
79	2.63333	Punch_Cross	2.5	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
80	2.66667	Punch_Cross	2.53333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
81	2.7	Punch_Cross	2.56667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
82	2.73333	Punch_Cross	2.6	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
83	2.76667	Punch_Cross	2.63333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
84	2.8	Punch_Cross	2.66667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
85	2.83333	Punch_Cross	2.7	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
86	2.86667	Punch_Cross	2.73333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
87	2.9	Punch_Cross	2.76667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
88	2.93333	Punch_Cross	2.8	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
89	2.96667	Punch_Cross	2.83333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
90	3	Punch_Cross	2.86667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
91	3.03333	Punch_Cross	2.9	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
92	3.06667	Punch_Cross	2.93333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
93	3.1	Punch_Cross	2.96667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
94	3.13333	Punch_Cross	3	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
95	3.16667	Punch_Cross	3.03333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
96	3.2	Punch_Cross	3.06667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
97	3.23333	Punch_Cross	3.1	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
98	3.26667	Punch_Cross	3.13333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
99	3.3	Punch_Cross	3.16667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
100	3.33333	Punch_Cross	3.2	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
101	3.36667	Punch_Cross	3.23333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
102	3.4	Punch_Cross	3.26667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
103	3.43333	Punch_Cross	3.3	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
104	3.46667	Punch_Cross	3.33333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
105	3.5	Punch_Cross	3.36667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
106	3.53333	Punch_Cross	3.4	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
107	3.56667	Punch_Cross	3.43333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
108	3.6	Punch_Cross	3.46667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
109	3.63333	Punch_Cross	3.5	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
110	3.66667	Punch_Cross	3.53333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
111	3.7	Punch_Cross	3.56667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
112	3.73333	Punch_Cross	3.6	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
113	3.76667	Punch_Cross	3.63333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
114	3.8	Punch_Cross	3.66667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
115	3.83333	Punch_Cross	3.7	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
116	3.86667	Punch_Cross	3.73333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
117	3.9	Punch_Cross	3.76667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
118	3.93333	Punch_Cross	3.8	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
119	3.96667	Punch_Cross	3.83333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	0.165867	0.112473	0.285127	0.027287	1530	1	41	23
